image,disc_x,disc_y,disc_radius
fundus_images/dataset_drive/DRIVE/training/images/21_training.tif,74,250,43
fundus_images/dataset_drive/DRIVE/training/images/22_training.tif,467,273,32
fundus_images/dataset_drive/DRIVE/training/images/23_training.tif,434,221,37
fundus_images/dataset_drive/DRIVE/training/images/24_training.tif,469,281,35
fundus_images/dataset_drive/DRIVE/training/images/25_training.tif,459,272,46
fundus_images/dataset_drive/DRIVE/training/images/26_training.tif,85,242,58
fundus_images/dataset_drive/DRIVE/training/images/27_training.tif,480,282,43
fundus_images/dataset_drive/DRIVE/training/images/28_training.tif,488,265,41
fundus_images/dataset_drive/DRIVE/training/images/29_training.tif,491,273,36
fundus_images/dataset_drive/DRIVE/training/images/30_training.tif,487,290,41
fundus_images/dataset_drive/DRIVE/training/images/31_training.tif,395,248,65
fundus_images/dataset_drive/DRIVE/training/images/32_training.tif,485,281,41
fundus_images/dataset_drive/DRIVE/training/images/33_training.tif,465,303,40
fundus_images/dataset_drive/DRIVE/training/images/34_training.tif,328,234,129
fundus_images/dataset_drive/DRIVE/training/images/35_training.tif,89,276,38
fundus_images/dataset_drive/DRIVE/training/images/36_training.tif,471,279,41
fundus_images/dataset_drive/DRIVE/training/images/37_training.tif,483,290,41
fundus_images/dataset_drive/DRIVE/training/images/38_training.tif,487,270,41
fundus_images/dataset_drive/DRIVE/training/images/39_training.tif,95,256,41
fundus_images/dataset_drive/DRIVE/training/images/40_training.tif,489,276,36
