timestamp,izq_mm,der_mm,diferencia_mm,plr_izq,plr_der,anisocoria,evento
18:22:01.582,1.44,8.09,6.65,0.123,0.692,1,
18:22:02.127,1.79,2.1,0.31,0.153,0.179,0,
18:22:02.665,1.97,2.06,0.09,0.168,0.176,0,
18:22:03.204,1.73,2.44,0.71,0.148,0.209,0,
18:22:03.728,1.37,3.27,1.9,0.117,0.28,1,
18:22:04.286,1.56,0.0,1.56,0.134,0.0,0,
18:22:04.828,1.66,0.0,1.66,0.142,0.0,0,
18:22:05.376,1.55,1.25,0.3,0.132,0.107,0,
18:22:05.886,1.55,2.18,0.63,0.133,0.186,0,
18:22:06.432,1.35,1.58,0.23,0.115,0.135,0,
18:22:06.945,1.38,1.4,0.02,0.118,0.12,0,
18:22:07.455,0.0,1.49,1.49,0.0,0.128,0,
18:22:08.002,1.27,1.77,0.5,0.109,0.151,0,
18:22:08.553,1.68,1.75,0.07,0.143,0.15,0,
18:22:09.108,1.36,1.53,0.17,0.116,0.131,0,
18:22:09.637,1.68,1.49,0.19,0.144,0.128,0,
18:22:10.146,1.72,1.5,0.22,0.147,0.128,0,
18:22:10.653,1.4,1.51,0.11,0.119,0.129,0,
18:22:11.187,4.14,1.55,2.59,0.354,0.133,1,
18:22:11.688,1.4,1.49,0.09,0.12,0.127,0,
18:22:12.196,1.44,1.45,0.01,0.123,0.124,0,
18:22:12.701,1.86,1.47,0.39,0.159,0.126,0,
18:22:13.223,1.67,1.72,0.05,0.143,0.147,0,
18:22:13.752,1.73,1.86,0.13,0.148,0.159,0,
18:22:14.296,7.4,4.6,2.8,0.632,0.394,1,
18:22:14.828,1.49,4.87,3.38,0.128,0.416,1,
18:22:15.376,1.75,1.62,0.13,0.149,0.139,0,
18:22:15.924,1.59,5.38,3.79,0.136,0.46,1,
18:22:16.461,3.86,3.37,0.49,0.33,0.288,0,
18:22:16.999,1.47,1.58,0.11,0.126,0.135,0,
18:22:17.513,1.62,1.56,0.06,0.139,0.134,0,
18:22:18.026,3.86,3.41,0.45,0.33,0.291,0,
18:22:18.541,6.83,2.9,3.93,0.584,0.248,1,
18:22:19.073,0.0,7.96,7.96,0.0,0.68,0,
18:22:19.616,0.0,1.63,1.63,0.0,0.14,0,
18:22:20.120,1.2,1.62,0.42,0.102,0.139,0,
18:22:20.638,0.0,1.62,1.62,0.0,0.139,0,
18:22:21.184,1.53,1.64,0.11,0.131,0.14,0,
18:22:21.718,1.6,1.52,0.08,0.137,0.13,0,
18:22:22.228,0.0,1.68,1.68,0.0,0.144,0,
18:22:22.779,0.0,1.58,1.58,0.0,0.135,0,
18:22:23.324,2.85,1.55,1.3,0.244,0.133,1,
18:22:23.846,7.59,3.17,4.42,0.649,0.271,1,
18:22:24.396,1.51,7.04,5.53,0.129,0.602,1,
18:22:24.951,5.83,2.04,3.79,0.499,0.174,1,
18:22:25.508,5.13,1.88,3.25,0.438,0.161,1,
18:22:26.027,1.78,1.41,0.37,0.152,0.12,0,
18:22:26.557,1.65,1.17,0.48,0.141,0.1,0,
18:22:27.072,1.71,1.51,0.2,0.146,0.129,0,
18:22:27.630,6.79,1.73,5.06,0.58,0.148,1,
18:22:28.188,1.53,1.57,0.04,0.131,0.135,0,
18:22:28.691,2.58,1.53,1.05,0.221,0.131,1,
18:22:29.208,3.31,1.36,1.95,0.283,0.117,1,
18:22:29.735,1.39,1.41,0.02,0.119,0.12,0,
18:22:30.245,2.63,1.44,1.19,0.225,0.123,1,
18:22:30.756,1.67,1.36,0.31,0.143,0.117,0,
18:22:31.289,0.0,1.3,1.3,0.0,0.111,0,
18:22:31.809,0.0,1.6,1.6,0.0,0.137,0,
18:22:32.345,1.61,1.68,0.07,0.137,0.144,0,
18:22:32.847,0.0,1.56,1.56,0.0,0.134,0,
18:22:33.436,0.0,1.58,1.58,0.0,0.135,0,
18:22:33.959,1.4,1.52,0.12,0.12,0.13,0,
18:22:34.500,0.0,1.55,1.55,0.0,0.132,0,
18:22:35.045,0.0,1.57,1.57,0.0,0.134,0,
18:22:35.583,0.0,1.65,1.65,0.0,0.141,0,
18:22:36.133,0.0,1.6,1.6,0.0,0.137,0,
18:22:36.638,4.26,1.59,2.67,0.364,0.136,1,
18:22:37.147,1.95,1.77,0.18,0.167,0.152,0,
18:22:37.720,1.56,3.07,1.51,0.133,0.263,1,
